Date : 2026-07-23 23:44:33
Directory : /Users/nemesisverstraete/Desktop/Obsidium
Total : 79 files,  2827 codes, 250 comments, 915 blanks, all 3992 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/nemesisverstraete/Desktop/Obsidium/include/world/scene/SceneManager.h           | C++      |         23 |          3 |         12 |         38 |
| /Users/nemesisverstraete/Desktop/Obsidium/sandbox/CMakeLists.txt                       | CMake    |         10 |          0 |          2 |         12 |
| /Users/nemesisverstraete/Desktop/Obsidium/sandbox/main.cpp                             | C++      |         52 |          5 |         14 |         71 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/Engine.cpp                               | C++      |         17 |          3 |          6 |         26 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/assets/MeshManager.cpp                   | C++      |        119 |          3 |         36 |        158 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/assets/TextureManager.cpp                | C++      |         29 |          3 |         10 |         42 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/Buffer.cpp                      | C++      |          5 |          3 |          6 |         14 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/Model.cpp                       | C++      |          9 |          3 |          6 |         18 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/Polygon.cpp                     | C++      |         36 |          3 |         14 |         53 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/Renderer.cpp                    | C++      |         43 |          3 |         13 |         59 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/Texture.cpp                     | C++      |         14 |          3 |          9 |         26 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/shader/Shader.cpp               | C++      |        104 |          3 |         21 |        128 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/shader/Shader.h                 | C++      |         18 |          3 |         10 |         31 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/shader/mainShader.slang         | Slang    |         33 |          0 |          7 |         40 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/Mesh.h                   | C++      |         24 |          3 |          7 |         34 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanBuffer.cpp         | C++      |         16 |          3 |          8 |         27 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanBuffer.h           | C++      |         19 |          3 |          9 |         31 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanCommandBuffers.cpp | C++      |         11 |          3 |          6 |         20 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanCommandBuffers.h   | C++      |         14 |          3 |          6 |         23 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanCommandPool.cpp    | C++      |         10 |          3 |          5 |         18 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanCommandPool.h      | C++      |         13 |          3 |          8 |         24 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanContext.cpp        | C++      |         69 |          5 |         16 |         90 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanContext.h          | C++      |         25 |          5 |         11 |         41 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanDescriptors.cpp    | C++      |         47 |          4 |         11 |         62 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanDescriptors.h      | C++      |         21 |          3 |          8 |         32 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanDevice.cpp         | C++      |         79 |          5 |         23 |        107 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanDevice.h           | C++      |         26 |          6 |         12 |         44 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanFrameContext.h     | C++      |         13 |          3 |          7 |         23 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanPipeline.cpp       | C++      |        106 |          5 |         21 |        132 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanPipeline.h         | C++      |         27 |          3 |         10 |         40 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanRenderer.cpp       | C++      |        315 |          4 |         62 |        381 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanRenderer.h         | C++      |         48 |          3 |         14 |         65 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanSurface.h          | C++      |         30 |          4 |         13 |         47 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanSwapChain.cpp      | C++      |         80 |          3 |         22 |        105 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanSwapChain.h        | C++      |         29 |          3 |         11 |         43 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanTexture.cpp        | C++      |         14 |          3 |          7 |         24 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/graphics/vulkan/VulkanTexture.h          | C++      |         16 |          3 |          6 |         25 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/rhi/Buffer.h                             | C++      |         16 |          3 |          7 |         26 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/rhi/RenderPacket.h                       | C++      |         15 |          3 |          6 |         24 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/rhi/RendererBackend.cpp                  | C++      |          4 |          3 |          4 |         11 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/rhi/RendererBackend.h                    | C++      |         25 |          4 |         14 |         43 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/rhi/Texture.h                            | C++      |         15 |          3 |          6 |         24 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/utils/IDSystem.cpp                       | C++      |         24 |          3 |          7 |         34 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/utils/IDSystem.h                         | C++      |         51 |          3 |         16 |         70 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/utils/UUID.cpp                           | C++      |         10 |          3 |          7 |         20 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/utils/UUID.h                             | C++      |          8 |          3 |          8 |         19 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/window/GLFWImplementation.h              | C++      |         86 |          3 |         21 |        110 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/window/Window.cpp                        | C++      |         14 |          3 |          6 |         23 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/world/EntityComponentManager.cpp         | C++      |         49 |          3 |         12 |         64 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/world/SparseSet.cpp                      | C++      |         40 |          3 |         10 |         53 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/world/System.cpp                         | C++      |          3 |          3 |          4 |         10 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/world/World.cpp                          | C++      |          1 |          3 |          2 |          6 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/world/WorldManager.cpp                   | C++      |          1 |          3 |          3 |          7 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/world/scene/Camera.cpp                   | C++      |         52 |          3 |         13 |         68 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/world/scene/Entity.cpp                   | C++      |         20 |          3 |         11 |         34 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/world/scene/Scene.cpp                    | C++      |        180 |          3 |         49 |        232 |
| /Users/nemesisverstraete/Desktop/Obsidium/src/world/scene/SceneManager.cpp             | C++      |         27 |          3 |         11 |         41 |
| Total                                                                                  |          |      2,827 |        250 |        915 |      3,992 |
+----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
